load,tempc,year,month,day,hour
3286,0,2017,1,8,18
3214,1,2017,1,8,19
3325,0,2017,1,8,20
3192,-1,2017,1,8,21
3132,-2,2017,1,8,22
2937,0,2017,1,8,23
2768,-1,2017,1,9,0
2503,4,2017,1,9,1
2502,5,2017,1,9,2
2368,2,2017,1,9,3
2467,1,2017,1,9,4
2471,1,2017,1,9,5
2482,1,2017,1,9,6
2610,1,2017,1,9,7
2792,2,2017,1,9,8
3004,2,2017,1,9,9
3072,2,2017,1,9,10
3127,2,2017,1,9,11
3082,1,2017,1,9,12
3050,0,2017,1,9,13
3063,0,2017,1,9,14
3063,0,2017,1,9,15
3071,1,2017,1,9,16
3039,1,2017,1,9,17
3216,0,2017,1,9,18
3399,-1,2017,1,9,19
3302,-1,2017,1,9,20
3281,-1,2017,1,9,21
3141,-1,2017,1,9,22
3065,-1,2017,1,9,23
2851,-1,2017,1,10,0
2643,-2,2017,1,10,1
2494,-2,2017,1,10,2
2497,-3,2017,1,10,3
2432,-4,2017,1,10,4
2463,-3,2017,1,10,5
2576,-3,2017,1,10,6
2718,-3,2017,1,10,7
2900,-3,2017,1,10,8
3133,-4,2017,1,10,9
3046,-4,2017,1,10,10
3126,-4,2017,1,10,11
3107,-4,2017,1,10,12
3032,-3,2017,1,10,13
3022,-3,2017,1,10,14
3004,-3,2017,1,10,15
3089,-3,2017,1,10,16
3056,-3,2017,1,10,17
3184,-4,2017,1,10,18
3450,-3,2017,1,10,19
3460,-3,2017,1,10,20
3320,-3,2017,1,10,21
3281,-3,2017,1,10,22
3114,-3,2017,1,10,23
2950,-4,2017,1,11,0
2718,-4,2017,1,11,1
2548,-4,2017,1,11,2
2568,-5,2017,1,11,3
2525,-5,2017,1,11,4
2500,-5,2017,1,11,5
2603,-5,2017,1,11,6
2832,-5,2017,1,11,7
3018,-5,2017,1,11,8
3226,-5,2017,1,11,9
3262,-5,2017,1,11,10
3309,-5,2017,1,11,11
3290,-5,2017,1,11,12
3289,-4,2017,1,11,13
3277,-3,2017,1,11,14
3247,-4,2017,1,11,15
3261,-4,2017,1,11,16
3225,-4,2017,1,11,17
3404,-4,2017,1,11,18
3566,-4,2017,1,11,19
3428,-4,2017,1,11,20
3409,-4,2017,1,11,21
3303,-4,2017,1,11,22
3196,-4,2017,1,11,23
3013,0,2017,1,12,0
2818,-1,2017,1,12,1
2637,0,2017,1,12,2
2553,1,2017,1,12,3
2645,1,2017,1,12,4
2541,1,2017,1,12,5
2551,1,2017,1,12,6
2726,0,2017,1,12,7
2810,0,2017,1,12,8
2957,0,2017,1,12,9
3050,0,2017,1,12,10
3134,0,2017,1,12,11
3190,0,2017,1,12,12
3187,1,2017,1,12,13
3207,1,2017,1,12,14
3297,1,2017,1,12,15
3051,0,2017,1,12,16
3064,0,2017,1,12,17
3305,-1,2017,1,12,18
3526,-2,2017,1,12,19
3209,-2,2017,1,12,20
3283,-2,2017,1,12,21
3256,-4,2017,1,12,22
3103,-5,2017,1,12,23
2838,-5,2017,1,13,0
2687,-8,2017,1,13,1
2674,-8,2017,1,13,2
2522,-10,2017,1,13,3
2601,-10,2017,1,13,4
2575,-9,2017,1,13,5
2514,-10,2017,1,13,6
2304,-10,2017,1,13,7
2775,-9,2017,1,13,8
2844,-10,2017,1,13,9
3013,-9,2017,1,13,10
3017,-8,2017,1,13,11
2640,-8,2017,1,13,12
2973,-7,2017,1,13,13
2955,-5,2017,1,13,14
2917,-4,2017,1,13,15
2930,-2,2017,1,13,16
2992,-3,2017,1,13,17
3198,-5,2017,1,13,18
3430,-6,2017,1,13,19
3409,-8,2017,1,13,20
3343,-9,2017,1,13,21
3288,-8,2017,1,13,22
