load,tempc,year,month,day,hour
8669,-20,2017,1,8,17
8825,-22,2017,1,8,18
8910,-21,2017,1,8,19
8752,-20,2017,1,8,20
8649,-23,2017,1,8,21
8636,-25,2017,1,8,22
8453,-27,2017,1,8,23
8269,-27,2017,1,9,0
8082,-26,2017,1,9,1
7808,-26,2017,1,9,2
7845,-26,2017,1,9,3
7622,-26,2017,1,9,4
7731,-25,2017,1,9,5
7851,-25,2017,1,9,6
7932,-24,2017,1,9,7
8250,-22,2017,1,9,8
8559,-21,2017,1,9,9
8741,-17,2017,1,9,10
8786,-18,2017,1,9,11
8693,-19,2017,1,9,12
8539,-19,2017,1,9,13
8496,-18,2017,1,9,14
8442,-17,2017,1,9,15
8511,-19,2017,1,9,16
8503,-17,2017,1,9,17
8877,-18,2017,1,9,18
8950,-19,2017,1,9,19
8752,-19,2017,1,9,20
8707,-20,2017,1,9,21
8626,-19,2017,1,9,22
8473,-22,2017,1,9,23
8301,-21,2017,1,10,0
8010,-20,2017,1,10,1
7904,-21,2017,1,10,2
7882,-23,2017,1,10,3
7941,-24,2017,1,10,4
7859,-24,2017,1,10,5
8034,-24,2017,1,10,6
8191,-24,2017,1,10,7
8520,-25,2017,1,10,8
8715,-25,2017,1,10,9
8931,-25,2017,1,10,10
8970,-24,2017,1,10,11
8839,-21,2017,1,10,12
8660,-19,2017,1,10,13
8612,-18,2017,1,10,14
8529,-16,2017,1,10,15
8513,-15,2017,1,10,16
8686,-17,2017,1,10,17
8988,-19,2017,1,10,18
9000,-19,2017,1,10,19
8965,-18,2017,1,10,20
8892,-18,2017,1,10,21
9083,-19,2017,1,10,22
8805,-20,2017,1,10,23
8639,-21,2017,1,11,0
8548,-20,2017,1,11,1
8385,-21,2017,1,11,2
8411,-21,2017,1,11,3
8396,-21,2017,1,11,4
8367,-21,2017,1,11,5
8466,-22,2017,1,11,6
8674,-22,2017,1,11,7
9093,-22,2017,1,11,8
9296,-23,2017,1,11,9
9375,-23,2017,1,11,10
9445,-23,2017,1,11,11
9287,-22,2017,1,11,12
9148,-20,2017,1,11,13
8936,-19,2017,1,11,14
8801,-19,2017,1,11,15
8792,-19,2017,1,11,16
8836,-19,2017,1,11,17
9096,-21,2017,1,11,18
9163,-20,2017,1,11,19
9097,-22,2017,1,11,20
8984,-22,2017,1,11,21
8998,-22,2017,1,11,22
8887,-21,2017,1,11,23
8740,-21,2017,1,12,0
8534,-21,2017,1,12,1
8344,-20,2017,1,12,2
8418,-19,2017,1,12,3
8390,-19,2017,1,12,4
8329,-18,2017,1,12,5
8602,-18,2017,1,12,6
8454,-19,2017,1,12,7
8669,-20,2017,1,12,8
8850,-21,2017,1,12,9
9130,-20,2017,1,12,10
9024,-19,2017,1,12,11
9087,-18,2017,1,12,12
8849,-17,2017,1,12,13
8797,-17,2017,1,12,14
8616,-16,2017,1,12,15
8736,-14,2017,1,12,16
8760,-14,2017,1,12,17
9062,-12,2017,1,12,18
9018,-11,2017,1,12,19
8953,-10,2017,1,12,20
9002,-10,2017,1,12,21
9018,-10,2017,1,12,22
8756,-10,2017,1,12,23
8551,-9,2017,1,13,0
8441,-8,2017,1,13,1
8289,-8,2017,1,13,2
8268,-8,2017,1,13,3
8248,-9,2017,1,13,4
8087,-9,2017,1,13,5
8220,-9,2017,1,13,6
8483,-9,2017,1,13,7
8375,-8,2017,1,13,8
8386,-8,2017,1,13,9
8564,-8,2017,1,13,10
8677,-7,2017,1,13,11
9038,-7,2017,1,13,12
8701,-6,2017,1,13,13
8523,-6,2017,1,13,14
8464,-5,2017,1,13,15
8530,-4,2017,1,13,16
8753,-3,2017,1,13,17
9040,-4,2017,1,13,18
9079,-3,2017,1,13,19
8968,-3,2017,1,13,20
9035,-2,2017,1,13,21
8916,-2,2017,1,13,22
8576,-3,2017,1,13,23
8397,-3,2017,1,14,0
8213,-3,2017,1,14,1
8098,-4,2017,1,14,2
8057,-4,2017,1,14,3
7975,-4,2017,1,14,4
8064,-5,2017,1,14,5
8143,-6,2017,1,14,6
8304,-6,2017,1,14,7
8544,-7,2017,1,14,8
8911,-7,2017,1,14,9
8939,-7,2017,1,14,10
8986,-7,2017,1,14,11
8795,-6,2017,1,14,12
8855,-6,2017,1,14,13
8772,-6,2017,1,14,14
8694,-5,2017,1,14,15
8730,-5,2017,1,14,16
8695,-4,2017,1,14,17
9039,-4,2017,1,14,18
9141,-6,2017,1,14,19
8950,-5,2017,1,14,20
8885,-4,2017,1,14,21
8877,-4,2017,1,14,22
8719,-4,2017,1,14,23
8383,-5,2017,1,15,0
8159,-5,2017,1,15,1
8024,-5,2017,1,15,2
7887,-6,2017,1,15,3
7857,-8,2017,1,15,4
8025,-9,2017,1,15,5
8110,-9,2017,1,15,6
8353,-9,2017,1,15,7
8620,-9,2017,1,15,8
8757,-9,2017,1,15,9
8749,-9,2017,1,15,10
8755,-9,2017,1,15,11
8736,-9,2017,1,15,12
8673,-9,2017,1,15,13
8634,-9,2017,1,15,14
8434,-9,2017,1,15,15
8621,-9,2017,1,15,16
8703,-10,2017,1,15,17
8879,-10,2017,1,15,18
9008,-11,2017,1,15,19
8936,-11,2017,1,15,20
8949,-11,2017,1,15,21
8926,-11,2017,1,15,22
8820,-11,2017,1,15,23
8584,-11,2017,1,16,0
8349,-11,2017,1,16,1
8199,-11,2017,1,16,2
8129,-11,2017,1,16,3
7985,-12,2017,1,16,4
8098,-12,2017,1,16,5
8291,-12,2017,1,16,6
8361,-11,2017,1,16,7
8789,-14,2017,1,16,8
