load,tempc,year,month,day,hour
1304,-4,2017,1,1,0
1294,-4,2017,1,1,1
1190,-4,2017,1,1,2
1195,-4,2017,1,1,3
1222,-4,2017,1,1,4
1222,-5,2017,1,1,5
1160,-5,2017,1,1,6
1248,-5,2017,1,1,7
1261,-5,2017,1,1,8
1261,-5,2017,1,1,9
1330,-5,2017,1,1,10
1351,-4,2017,1,1,11
1426,-4,2017,1,1,12
1386,-3,2017,1,1,13
1403,-3,2017,1,1,14
1405,-3,2017,1,1,15
1398,-3,2017,1,1,16
1438,-4,2017,1,1,17
1430,-4,2017,1,1,18
1436,-4,2017,1,1,19
1433,-4,2017,1,1,20
1398,-4,2017,1,1,21
1394,-4,2017,1,1,22
1375,-4,2017,1,1,23
1362,-4,2017,1,2,0
1360,-4,2017,1,2,1
1385,-4,2017,1,2,2
1357,-5,2017,1,2,3
1337,-5,2017,1,2,4
1345,-5,2017,1,2,5
1351,-5,2017,1,2,6
1284,-5,2017,1,2,7
1307,-5,2017,1,2,8
1328,-4,2017,1,2,9
1367,-4,2017,1,2,10
1360,-3,2017,1,2,11
1356,-3,2017,1,2,12
1361,-2,2017,1,2,13
1357,-2,2017,1,2,14
1345,-1,2017,1,2,15
1339,-1,2017,1,2,16
1377,-2,2017,1,2,17
1371,-3,2017,1,2,18
1450,-3,2017,1,2,19
1449,-4,2017,1,2,20
1414,-5,2017,1,2,21
1412,-7,2017,1,2,22
1390,-6,2017,1,2,23
1320,-6,2017,1,3,0
1316,-6,2017,1,3,1
1313,-6,2017,1,3,2
1311,-6,2017,1,3,3
1318,-6,2017,1,3,4
1311,-6,2017,1,3,5
1311,-6,2017,1,3,6
1326,-5,2017,1,3,7
1323,-6,2017,1,3,8
1333,-6,2017,1,3,9
1408,-6,2017,1,3,10
1412,-5,2017,1,3,11
1457,-4,2017,1,3,12
1414,-3,2017,1,3,13
1458,-3,2017,1,3,14
1416,-2,2017,1,3,15
1396,-2,2017,1,3,16
1453,-4,2017,1,3,17
1450,-4,2017,1,3,18
1486,-5,2017,1,3,19
1477,-5,2017,1,3,20
1433,-5,2017,1,3,21
1428,-6,2017,1,3,22
1409,-6,2017,1,3,23
1363,-6,2017,1,4,0
1359,-6,2017,1,4,1
1365,-6,2017,1,4,2
1364,-6,2017,1,4,3
1359,-6,2017,1,4,4
1365,-5,2017,1,4,5
1360,-6,2017,1,4,6
1404,-5,2017,1,4,7
1411,-5,2017,1,4,8
1425,-3,2017,1,4,9
1469,-1,2017,1,4,10
1501,1,2017,1,4,11
1504,3,2017,1,4,12
1467,3,2017,1,4,13
1452,1,2017,1,4,14
1453,0,2017,1,4,15
1448,-1,2017,1,4,16
1475,-1,2017,1,4,17
1526,-1,2017,1,4,18
1553,-2,2017,1,4,19
1545,-2,2017,1,4,20
1507,-2,2017,1,4,21
1507,-3,2017,1,4,22
1440,-3,2017,1,4,23
1406,-4,2017,1,5,0
1410,-4,2017,1,5,1
1405,-5,2017,1,5,2
1413,-5,2017,1,5,3
1409,-6,2017,1,5,4
1368,-6,2017,1,5,5
1407,-6,2017,1,5,6
1399,-6,2017,1,5,7
1417,-6,2017,1,5,8
1446,-6,2017,1,5,9
1496,-6,2017,1,5,10
1492,-5,2017,1,5,11
1482,-5,2017,1,5,12
1454,-5,2017,1,5,13
1454,-4,2017,1,5,14
1447,-5,2017,1,5,15
1439,-5,2017,1,5,16
1478,-5,2017,1,5,17
1474,-5,2017,1,5,18
1528,-5,2017,1,5,19
1536,-6,2017,1,5,20
1493,-6,2017,1,5,21
1485,-6,2017,1,5,22
1393,-6,2017,1,5,23
1379,-6,2017,1,6,0
1383,-7,2017,1,6,1
1390,-7,2017,1,6,2
1392,-6,2017,1,6,3
1384,-7,2017,1,6,4
1398,-7,2017,1,6,5
1344,-6,2017,1,6,6
1331,-6,2017,1,6,7
1357,-6,2017,1,6,8
1373,-6,2017,1,6,9
1456,-6,2017,1,6,10
1477,-6,2017,1,6,11
1469,-4,2017,1,6,12
1429,-3,2017,1,6,13
1410,-1,2017,1,6,14
1400,-1,2017,1,6,15
1365,-1,2017,1,6,16
1391,-3,2017,1,6,17
1441,-4,2017,1,6,18
1435,-6,2017,1,6,19
1489,-7,2017,1,6,20
1447,-7,2017,1,6,21
1436,-9,2017,1,6,22
1422,-10,2017,1,6,23
1346,-9,2017,1,7,0
1350,-7,2017,1,7,1
1349,-7,2017,1,7,2
1335,-7,2017,1,7,3
1341,-7,2017,1,7,4
1342,-7,2017,1,7,5
1343,-8,2017,1,7,6
1408,-9,2017,1,7,7
1426,-10,2017,1,7,8
1446,-11,2017,1,7,9
1511,-10,2017,1,7,10
1537,-9,2017,1,7,11
1543,-6,2017,1,7,12
1517,-4,2017,1,7,13
1514,-3,2017,1,7,14
1484,-2,2017,1,7,15
1468,-2,2017,1,7,16
1497,-2,2017,1,7,17
1534,-5,2017,1,7,18
1555,-6,2017,1,7,19
1566,-8,2017,1,7,20
1523,-9,2017,1,7,21
1520,-10,2017,1,7,22
1464,-10,2017,1,7,23
1415,-10,2017,1,8,0
1407,-10,2017,1,8,1
1400,-11,2017,1,8,2
1415,-11,2017,1,8,3
1401,-11,2017,1,8,4
1443,-10,2017,1,8,5
1437,-10,2017,1,8,6
1435,-9,2017,1,8,7
1452,-10,2017,1,8,8
1463,-9,2017,1,8,9
1566,-6,2017,1,8,10
1589,-2,2017,1,8,11
1587,1,2017,1,8,12
1482,2,2017,1,8,13
1571,3,2017,1,8,14
1608,2,2017,1,8,15
1629,3,2017,1,8,16
1665,2,2017,1,8,17
1690,0,2017,1,8,18
1703,1,2017,1,8,19
1702,0,2017,1,8,20
1614,-1,2017,1,8,21
1611,-2,2017,1,8,22
1522,0,2017,1,8,23
1510,-1,2017,1,9,0
1461,4,2017,1,9,1
1460,5,2017,1,9,2
1425,2,2017,1,9,3
1434,1,2017,1,9,4
1440,1,2017,1,9,5
1448,1,2017,1,9,6
1477,1,2017,1,9,7
1482,2,2017,1,9,8
1525,2,2017,1,9,9
1586,2,2017,1,9,10
1622,2,2017,1,9,11
1643,1,2017,1,9,12
1589,0,2017,1,9,13
1651,0,2017,1,9,14
1638,0,2017,1,9,15
1614,1,2017,1,9,16
1650,1,2017,1,9,17
1671,0,2017,1,9,18
1867,-1,2017,1,9,19
1677,-1,2017,1,9,20
1538,-1,2017,1,9,21
1525,-1,2017,1,9,22
1443,-1,2017,1,9,23
1428,-1,2017,1,10,0
1385,-2,2017,1,10,1
1385,-2,2017,1,10,2
1392,-3,2017,1,10,3
1441,-4,2017,1,10,4
1428,-3,2017,1,10,5
1401,-3,2017,1,10,6
1368,-3,2017,1,10,7
1407,-3,2017,1,10,8
1422,-4,2017,1,10,9
1510,-4,2017,1,10,10
1546,-4,2017,1,10,11
1541,-4,2017,1,10,12
1489,-3,2017,1,10,13
1472,-3,2017,1,10,14
1425,-3,2017,1,10,15
1458,-3,2017,1,10,16
1538,-3,2017,1,10,17
1686,-4,2017,1,10,18
1668,-3,2017,1,10,19
1642,-3,2017,1,10,20
1581,-3,2017,1,10,21
1721,-3,2017,1,10,22
1455,-3,2017,1,10,23
1334,-4,2017,1,11,0
1325,-4,2017,1,11,1
1328,-4,2017,1,11,2
1332,-5,2017,1,11,3
1320,-5,2017,1,11,4
1355,-5,2017,1,11,5
1366,-5,2017,1,11,6
1373,-5,2017,1,11,7
1458,-5,2017,1,11,8
1560,-5,2017,1,11,9
1759,-5,2017,1,11,10
1774,-5,2017,1,11,11
1782,-5,2017,1,11,12
1621,-4,2017,1,11,13
1519,-3,2017,1,11,14
1573,-4,2017,1,11,15
1492,-4,2017,1,11,16
1546,-4,2017,1,11,17
1651,-4,2017,1,11,18
1777,-4,2017,1,11,19
1578,-4,2017,1,11,20
1509,-4,2017,1,11,21
1547,-4,2017,1,11,22
1435,-4,2017,1,11,23
1418,0,2017,1,12,0
1380,-1,2017,1,12,1
1372,0,2017,1,12,2
1421,1,2017,1,12,3
1418,1,2017,1,12,4
1359,1,2017,1,12,5
1352,1,2017,1,12,6
1357,0,2017,1,12,7
1367,0,2017,1,12,8
1405,0,2017,1,12,9
1473,0,2017,1,12,10
1496,0,2017,1,12,11
1480,0,2017,1,12,12
1419,1,2017,1,12,13
1411,1,2017,1,12,14
1439,1,2017,1,12,15
1446,0,2017,1,12,16
1510,0,2017,1,12,17
1614,-1,2017,1,12,18
1611,-2,2017,1,12,19
1622,-2,2017,1,12,20
1561,-2,2017,1,12,21
1566,-4,2017,1,12,22
1405,-5,2017,1,12,23
1383,-5,2017,1,13,0
1344,-8,2017,1,13,1
1337,-8,2017,1,13,2
1344,-10,2017,1,13,3
1344,-10,2017,1,13,4
1348,-9,2017,1,13,5
1343,-10,2017,1,13,6
1351,-10,2017,1,13,7
1371,-9,2017,1,13,8
1400,-10,2017,1,13,9
1480,-9,2017,1,13,10
1522,-8,2017,1,13,11
1534,-8,2017,1,13,12
1470,-7,2017,1,13,13
1473,-5,2017,1,13,14
1465,-4,2017,1,13,15
1450,-2,2017,1,13,16
1527,-3,2017,1,13,17
1555,-5,2017,1,13,18
1646,-6,2017,1,13,19
1642,-8,2017,1,13,20
1621,-9,2017,1,13,21
1548,-8,2017,1,13,22
1456,-7,2017,1,13,23
1386,-8,2017,1,14,0
1390,-8,2017,1,14,1
1383,-8,2017,1,14,2
1385,-9,2017,1,14,3
1380,-9,2017,1,14,4
1419,-9,2017,1,14,5
1429,-10,2017,1,14,6
1438,-10,2017,1,14,7
1459,-11,2017,1,14,8
1512,-12,2017,1,14,9
1779,-11,2017,1,14,10
1808,-9,2017,1,14,11
1617,-8,2017,1,14,12
1571,-7,2017,1,14,13
1553,-4,2017,1,14,14
1502,-3,2017,1,14,15
1482,-2,2017,1,14,16
1583,-2,2017,1,14,17
1829,-4,2017,1,14,18
1844,-6,2017,1,14,19
1694,-7,2017,1,14,20
1640,-8,2017,1,14,21
1536,-9,2017,1,14,22
1455,-9,2017,1,14,23
1420,-9,2017,1,15,0
1381,-9,2017,1,15,1
1377,-7,2017,1,15,2
1415,-6,2017,1,15,3
1423,-6,2017,1,15,4
1442,-6,2017,1,15,5
1447,-7,2017,1,15,6
1464,-7,2017,1,15,7
1482,-5,2017,1,15,8
1522,-3,2017,1,15,9
1631,-3,2017,1,15,10
1588,-1,2017,1,15,11
1638,0,2017,1,15,12
1657,2,2017,1,15,13
1510,4,2017,1,15,14
1511,3,2017,1,15,15
1507,3,2017,1,15,16
1790,4,2017,1,15,17
1799,3,2017,1,15,18
1814,2,2017,1,15,19
1812,2,2017,1,15,20
1769,2,2017,1,15,21
1774,2,2017,1,15,22
1574,2,2017,1,15,23
1463,3,2017,1,16,0
1433,3,2017,1,16,1
1433,3,2017,1,16,2
1437,2,2017,1,16,3
1435,1,2017,1,16,4
1447,3,2017,1,16,5
1441,3,2017,1,16,6
1453,3,2017,1,16,7
1472,2,2017,1,16,8
1510,3,2017,1,16,9
1655,3,2017,1,16,10
1727,4,2017,1,16,11
1718,5,2017,1,16,12
1558,5,2017,1,16,13
1517,3,2017,1,16,14
1539,5,2017,1,16,15
1545,5,2017,1,16,16
1616,4,2017,1,16,17
1863,4,2017,1,16,18
1852,4,2017,1,16,19
1839,2,2017,1,16,20
1673,1,2017,1,16,21
1773,0,2017,1,16,22
1609,-1,2017,1,16,23
1449,-1,2017,1,17,0
1444,-2,2017,1,17,1
1456,-2,2017,1,17,2
1465,-2,2017,1,17,3
1460,-2,2017,1,17,4
1463,-3,2017,1,17,5
1444,-3,2017,1,17,6
1454,-3,2017,1,17,7
1480,-3,2017,1,17,8
1551,-4,2017,1,17,9
1724,-4,2017,1,17,10
1849,-3,2017,1,17,11
1850,-3,2017,1,17,12
1693,-1,2017,1,17,13
1576,0,2017,1,17,14
1542,1,2017,1,17,15
1527,1,2017,1,17,16
1802,1,2017,1,17,17
1841,-1,2017,1,17,18
1846,-2,2017,1,17,19
1838,-1,2017,1,17,20
1771,-1,2017,1,17,21
1767,-1,2017,1,17,22
1467,-1,2017,1,17,23
1474,-1,2017,1,18,0
1470,-1,2017,1,18,1
1459,-2,2017,1,18,2
1468,-2,2017,1,18,3
1461,-3,2017,1,18,4
1771,-3,2017,1,18,5
1472,-3,2017,1,18,6
1471,-3,2017,1,18,7
1490,-3,2017,1,18,8
1530,-4,2017,1,18,9
1821,-4,2017,1,18,10
1831,-4,2017,1,18,11
1814,-3,2017,1,18,12
1758,-1,2017,1,18,13
1631,1,2017,1,18,14
