load,tempc,year,month,day,hour
9907,-20,2017,1,8,17
10119,-22,2017,1,8,18
10259,-21,2017,1,8,19
10309,-20,2017,1,8,20
10180,-23,2017,1,8,21
10071,-25,2017,1,8,22
10096,-27,2017,1,8,23
9438,-27,2017,1,9,0
9363,-26,2017,1,9,1
9353,-26,2017,1,9,2
9332,-26,2017,1,9,3
9350,-26,2017,1,9,4
9371,-25,2017,1,9,5
9358,-25,2017,1,9,6
9355,-24,2017,1,9,7
9376,-22,2017,1,9,8
9707,-21,2017,1,9,9
10213,-17,2017,1,9,10
10234,-18,2017,1,9,11
10242,-19,2017,1,9,12
10072,-19,2017,1,9,13
10026,-18,2017,1,9,14
9988,-17,2017,1,9,15
9995,-19,2017,1,9,16
10166,-17,2017,1,9,17
10386,-18,2017,1,9,18
10563,-19,2017,1,9,19
10593,-19,2017,1,9,20
10495,-20,2017,1,9,21
10377,-19,2017,1,9,22
10094,-22,2017,1,9,23
9823,-21,2017,1,10,0
9773,-20,2017,1,10,1
9759,-21,2017,1,10,2
9764,-23,2017,1,10,3
9747,-24,2017,1,10,4
9763,-24,2017,1,10,5
9887,-24,2017,1,10,6
9880,-24,2017,1,10,7
10163,-25,2017,1,10,8
10210,-25,2017,1,10,9
10505,-25,2017,1,10,10
10633,-24,2017,1,10,11
10541,-21,2017,1,10,12
10342,-19,2017,1,10,13
10282,-18,2017,1,10,14
10265,-16,2017,1,10,15
10283,-15,2017,1,10,16
10314,-17,2017,1,10,17
10734,-19,2017,1,10,18
10696,-19,2017,1,10,19
10697,-18,2017,1,10,20
10596,-18,2017,1,10,21
10615,-19,2017,1,10,22
10566,-20,2017,1,10,23
10256,-21,2017,1,11,0
10063,-20,2017,1,11,1
10089,-21,2017,1,11,2
10054,-21,2017,1,11,3
10011,-21,2017,1,11,4
9976,-21,2017,1,11,5
10054,-22,2017,1,11,6
10125,-22,2017,1,11,7
10147,-22,2017,1,11,8
10475,-23,2017,1,11,9
10641,-23,2017,1,11,10
10726,-23,2017,1,11,11
10782,-22,2017,1,11,12
10821,-20,2017,1,11,13
10566,-19,2017,1,11,14
10467,-19,2017,1,11,15
10534,-19,2017,1,11,16
10580,-19,2017,1,11,17
10792,-21,2017,1,11,18
10800,-20,2017,1,11,19
10794,-22,2017,1,11,20
10748,-22,2017,1,11,21
10632,-22,2017,1,11,22
10343,-21,2017,1,11,23
9882,-21,2017,1,12,0
9731,-21,2017,1,12,1
9673,-20,2017,1,12,2
9647,-19,2017,1,12,3
9661,-19,2017,1,12,4
9665,-18,2017,1,12,5
9690,-18,2017,1,12,6
9699,-19,2017,1,12,7
9717,-20,2017,1,12,8
9799,-21,2017,1,12,9
10061,-20,2017,1,12,10
10232,-19,2017,1,12,11
10248,-18,2017,1,12,12
10251,-17,2017,1,12,13
10143,-17,2017,1,12,14
10139,-16,2017,1,12,15
10122,-14,2017,1,12,16
10111,-14,2017,1,12,17
10327,-12,2017,1,12,18
10321,-11,2017,1,12,19
10322,-10,2017,1,12,20
10155,-10,2017,1,12,21
10149,-10,2017,1,12,22
10168,-10,2017,1,12,23
9963,-9,2017,1,13,0
9779,-8,2017,1,13,1
9732,-8,2017,1,13,2
9765,-8,2017,1,13,3
9754,-9,2017,1,13,4
9726,-9,2017,1,13,5
9767,-9,2017,1,13,6
9793,-9,2017,1,13,7
9789,-8,2017,1,13,8
9798,-8,2017,1,13,9
9860,-8,2017,1,13,10
9804,-7,2017,1,13,11
9794,-7,2017,1,13,12
9800,-6,2017,1,13,13
9809,-6,2017,1,13,14
9794,-5,2017,1,13,15
9795,-4,2017,1,13,16
9805,-3,2017,1,13,17
10021,-4,2017,1,13,18
10243,-3,2017,1,13,19
10253,-3,2017,1,13,20
10219,-2,2017,1,13,21
10217,-2,2017,1,13,22
10044,-3,2017,1,13,23
9789,-3,2017,1,14,0
9761,-3,2017,1,14,1
9739,-4,2017,1,14,2
9694,-4,2017,1,14,3
9675,-4,2017,1,14,4
9670,-5,2017,1,14,5
9783,-6,2017,1,14,6
9749,-6,2017,1,14,7
9978,-7,2017,1,14,8
10317,-7,2017,1,14,9
10374,-7,2017,1,14,10
10379,-7,2017,1,14,11
10375,-6,2017,1,14,12
10191,-6,2017,1,14,13
10078,-6,2017,1,14,14
10084,-5,2017,1,14,15
10083,-5,2017,1,14,16
10164,-4,2017,1,14,17
10298,-4,2017,1,14,18
10442,-6,2017,1,14,19
10451,-5,2017,1,14,20
10433,-4,2017,1,14,21
10476,-4,2017,1,14,22
10200,-4,2017,1,14,23
9788,-5,2017,1,15,0
9535,-5,2017,1,15,1
9438,-5,2017,1,15,2
9455,-6,2017,1,15,3
9465,-8,2017,1,15,4
9451,-9,2017,1,15,5
9426,-9,2017,1,15,6
9608,-9,2017,1,15,7
9923,-9,2017,1,15,8
9938,-9,2017,1,15,9
10252,-9,2017,1,15,10
10235,-9,2017,1,15,11
10256,-9,2017,1,15,12
10245,-9,2017,1,15,13
10158,-9,2017,1,15,14
10369,-9,2017,1,15,15
10183,-9,2017,1,15,16
10402,-10,2017,1,15,17
10489,-10,2017,1,15,18
10492,-11,2017,1,15,19
10482,-11,2017,1,15,20
